"id","breed_name","height","weight","lifespan","health","recommended_tests","what_to_feed","how_to_feed","nutritional_tips"
"13","法國鬥牛犬","27.9-33.0 公分","小於 12.7 公斤","10-12 年","由於法國鬥牛犬的身體前部較重，因此不會游泳，因此切勿將其留在浴缸、游泳池或水體附近而無人看管。像所有扁平臉品種一樣，法國鬥牛犬容易出現呼吸問題，並且在炎熱或潮濕的天氣下表現不佳。扁臉品種對麻醉也較敏感。法國鬥牛犬偶爾會患有櫻桃眼、青少年白內障或眼瞼內翻等眼部疾病，也會患上皮膚過敏和自體免疫性皮膚病。負責任的飼養者會利用現有的測試來篩檢種畜是否有可能影響品種的疾病。","髕骨評估 |髖關節評估 |心臟檢查 |眼科醫師評估","法國鬥牛犬應餵食美國飼料管理協會 (AAFCO) 批准的均衡、適合其生命階段的狗糧。避免餵食過多，因為肥胖會增加背部受傷的風險，並可能加劇任何潛在的呼吸道問題。","法國鬥牛犬成年後應每天餵食兩頓飯，幼犬時期則應每天餵食三到四頓飯，時間要固定。為您的小狗提供適合其生命階段的完整飲食非常重要。法國鬥牛犬幼犬應該吃幼犬食品，直到 1 歲。建議 1 至 7 歲的法國鬥牛犬使用成年犬糧，而對於年齡較大的法國鬥牛犬，建議使用老年犬糧。
再次強調，如果您的法國鬥牛犬變得超重，請避免過度餵食並改用限制熱量的飲食。","法國鬥牛犬可能需要優質的 omega-3 補充劑來維護其皮膚和毛髮。 Omega-3 必需脂肪酸可增強皮膚抵抗細菌和酵母過度生長的天然能力。此外，必需脂肪酸可以減少發炎並維持關節健康。"
"14","比熊犬","24.1-29.2 公分","5.4-8.2 公斤","14-15 年","比熊犬通常是健康的狗，負責任的飼養者會對種畜進行健康狀況篩檢，例如過敏、膀胱感染、髕骨脫位、白內障和其他眼部疾病。如果不重視牙齒護理和定期刷牙，比熊犬可能會早期出現牙齒脫落或牙齦感染併發症。為了避免耳部感染，建議定期清潔耳朵。","髕骨評估 |髖關節評估 |眼科醫師評估","比熊犬適合食用符合美國飼料管理協會 (AAFCO) 營養需求的高品質商業飲食。食物應根據您愛犬的生命階段來配製，即：
比熊犬幼犬可以獲得高品質的幼犬食品。
成犬必須過渡到成年犬糧。
老年人可能會受益於老年犬糧。
這些狗狗最適合吃小型犬食物；您也可以找到特定品種的狗糧。","成年比熊犬每天至少吃兩餐就好了。比熊犬幼犬可能需要更頻繁地進食以減少低血糖症（低血糖）的機會。請諮詢您的獸醫，以獲得有關您的狗的最佳餵食時間表的指導。
比熊犬喜歡玩遊戲和解謎。因此，您不必用普通的狗碗餵食它們，而是可以將食物藏在互動食物拼圖、舔墊和嗅聞墊中。","由於比熊犬容易患牙齒疾病，因此餵食它們專門用於清潔牙齒的食物是有益的。經獸醫口腔健康委員會 (VOHC) 批准的飲食或零食將有助於您的比熊犬在牙科檢查和清潔之間保持牙齒健康。
儘管牙齒咀嚼物不能代替定期刷牙，但它也有助於減少口腔細菌。"
"15","西高地白梗","25.4 公分","6.8-9.1 公斤","13-15 年","西高地白梗犬通常是健康的狗，負責任的飼養者會對其犬隻進行健康檢查，例如心臟病和髕骨脫位。應該經常用專為狗配製的牙膏給西高地白梗刷牙。定期去看獸醫進行檢查和寄生蟲控制有助於確保狗狗長壽、健康。","髕骨評估 |髖關節評估 |眼科醫師評估 |顱顎骨整骨術","給你的狗餵食美國飼料管理協會 (AAFCO) 批准的商業粗磨飼料或濕糧是確保你的西高地白梗獲得完整均衡飲食的好方法。
西高地白梗幼犬應餵食專為幼犬配製的食物或指定用於「所有生命階段」的食物。對於成年西高地白梗，您的獸醫可能會建議以牙齒為重點的飲食，以幫助預防牙齒疾病。","成年西高地白梗應該每天餵食兩次定量的食物。每天應給西高地白梗幼犬餵食至少三頓飯，以防止低血糖。避免過度餵食或隨意餵食你的狗，因為這會導致肥胖。","在西高地白梗的飲食中添加 Omega-3 脂肪酸 (DHA/EPA) 可能會對其有益。皮膚和關節補充劑、魚油，甚至一些專門配製的狗糧中都含有 Omega-3 脂肪酸。
這些脂肪酸起到天然抗發炎劑的作用，有助於保護皮膚、毛髮、腎臟、關節和心臟。請務必先與您的獸醫討論建議的補充劑，並且切勿在未經獸醫同意的情況下給您的西高地白梗服用補充劑。"
"16","柯基","25.4-30.5 公分","不超過 12.7 公斤","12-13 年","彭布羅克馬通常是一種健康的品種，負責任的飼養者會篩檢其牲畜的健康狀況，例如肘關節和髖關節發育不良、眼部疾病、心臟問題、退化性脊髓病和出血性疾病——血管性血友病。與所有品種一樣，應每週檢查彭布羅克貓的耳朵是否有感染跡象，並應定期刷牙。","髖關節評估 |眼科醫師評估","彭布羅克威爾斯柯基犬和所有其他狗一樣，以美國飼料管理協會 (AAFCO) 批准的高品質、完整、均衡的飲食為食。
彭布羅克山羊很容易超重，因此請注意觀察它們的進食量，以及這是否會導致它們體重增加。如果是這樣，建議低熱量飲食，並盡量少吃或不吃零食或人類食物。
新鮮的蔬菜和水果，如胡蘿蔔、藍莓、黃瓜和蘋果（去掉種子和核）都是彭布羅克犬的低熱量零食，尤其是在訓練期間。對於像彭布羅克犬這樣容易出現骨科問題的狗來說，保持苗條和健康的體重也是最好的。 Hill&#39;s/Science Diet、Royal Canin 和 Purina 是最推薦的狗糧品牌。","一歲以下的彭布羅克威爾斯柯基犬應採用專為幼犬配製的飲食。幼犬配方奶粉中添加了營養物質，以幫助狗狗在生命中這段關鍵時期的智力和身體發育。
一歲以後，應該會給你的彭布羅克犬換上標示成犬專用的食物。當您的狗長到 7-8 歲時，請與您的獸醫討論改用老年飲食以滿足這個年齡層的特殊需求。這些老年人的飲食通常更清淡，並添加了維生素和補充劑，例如有益於關節健康的葡萄糖胺。","一般來說，如果狗狗的飲食均衡、符合 AAFCO 批准，它們就能獲得生長發育所需的所有必需維生素和礦物質。根據不同的生命階段，你的彭布羅克犬可能需要額外的補充，包括：
關節補充品－葡萄糖胺、軟骨素和 MSM 補充劑對促進關節健康非常有益。 MSM 具有純天然的抗發炎特性。研究表明，減少發炎有助於控制與骨關節炎相關的疼痛，骨關節炎是患有關節問題的狗的常見問題。
必需脂肪酸－Omega-3 脂肪酸（高品質魚油）被認為在適當劑量下也具有抗發炎特性。眾所周知，它們還有助於改善眼睛和心臟狀況。
益生菌－用於改善消化系統健康、增強狗的免疫力、提高抵抗疾病的能力、幫助治療泌尿道感染，並透過降低過敏原吸收到腸道/血液中的能力來減少過敏反應。一般來說，健康的狗狗無需益生菌就能維持這種平衡，但在生病、有壓力或營養不良的時候，益生菌有助於恢復身體平衡。"
"17","哈士奇","50.8-55.9 公分","15.9-22.7 公斤","12-14 年","西伯利亞哈士奇犬通常是一種健康、壽命相對較長的犬種，並且在老年期仍然非常活躍。雖然所有品種的西伯利亞哈士奇都存在一些健康問題，例如癌症和關節炎，但大多數西伯利亞哈士奇都是健康的狗。髖關節發育不良和眼部疾病的發生率相對較低，兩種新發現的神經系統疾病的發生率也較低。它們被培育用於在低溫環境下，以最少的食物，以中等速度長距離拉動輕負載，與同等大小的其他品種相比，它們可以用更少的食物維持健康的體重。這是一種活躍的品種，為了獲得最佳健康，應該給它們餵食高品質的蛋白質食物。體重保持最佳、不超重的狗狗可以活得更健康、更長壽。他生性愛乾淨，身上沒有任何異味。","髖關節評估 |眼科醫師評估 |西伯利亞哈士奇搖晃小狗症候群 1 型（SPS1）|西伯利亞雪橇犬多發性神經病變 1 型（SHPN1）","獸醫建議寵物主人餵食所有狗符合美國飼料管理協會 (AAFCO) 制定的營養標準的食物，西伯利亞哈士奇也不例外。
您的狗的食物也應該與其生命階段相符：
哈士奇幼犬（1歲以下）應吃高品質的幼犬食品。
成年哈士奇應該換成成犬配製的食物。
年齡較大的哈士奇犬（7 歲及以上）可從老年犬糧中受益。
您的獸醫可以幫助您確定餵養狗的最佳食物。","白天給哈士奇吃少量多餐，以幫助其保持最高效率的新陳代謝並防止肥胖。不要把食物整天放在外面給它們吃，因為哈士奇很容易吃太多。
相反，每天在固定的時間給你的小狗餵兩到三頓飯。西伯利亞哈士奇幼犬需要更頻繁地進食，每天大約三到四頓。","因為哈士奇喜歡每天都進行令人心跳加速的運動，所以要餵食它們符合 AAFCO 指導方針的良好商業飲食。
健康的哈士奇不需要在飲食中添加補充劑，但獸醫可能會根據具體情況推薦某些狗補充劑，例如關節補充劑。"
"18","薩摩耶","48.3-53.3 公分","15.9-22.7 公斤","12-14 年","薩摩耶犬一般都是健康的狗，負責任的飼養者會對其犬隻進行健康檢測，例如髖關節發育不良、眼睛和心臟疾病。應該經常給薩摩耶犬刷牙，並使用專為狗設計的牙膏。定期去看獸醫進行檢查和寄生蟲控制有助於確保狗狗長壽、健康。","髖關節評估 |心臟檢查 |眼科醫師評估 |視網膜發育不良/眼骨骼發育不良 2 (RD/OSD, OSD2) - DNA 測試 |進行性視網膜萎縮，X-Linked1 (XLPRA1) - DNA 測試","1歲以下的薩摩耶幼犬需要符合美國飼料管理協會（AAFCO）制定的營養標準的高品質幼犬食品。應為年齡較大的薩摩耶犬（7 歲及以上）提供符合 AAFCO 標準的高品質老年犬食品。
經常進行放牧、滑雪橇或其他劇烈運動的薩摩耶犬需要高品質的狗糧，其蛋白質含量高於一般家犬的狗糧。對於不太活躍的家庭伴侶，應避免在白天過度餵食或提供過量的零食，以防止您的狗肥胖。
請務必諮詢您的獸醫，他可以幫助您根據狗的特定需求選擇最佳的食物。再次強調，患有 SHG 的薩摩耶犬應被餵食高品質、限制蛋白質、對腎臟有益的飲食，以幫助減緩病情進展。","與大多數犬種一樣，成年薩摩耶犬每天餵食兩次（早上和晚上）是合適的。薩摩耶幼犬可能需要多吃幾餐（每天三到四餐）。應始終提供淡水。","對於非常活躍的薩摩耶犬，添加葡萄糖胺和ω-3補充劑（如魚油）有助於促進關節健康。市面上還有一些含有添加的 omega-3 和/或葡萄糖胺的商業關節健康狗糧。
在為您的狗的飲食添加補充劑之前，請務必與您的獸醫交談。"
"19","杜賓犬","61.0-66.0 公分","27.2-40.8 公斤","10-12 年","雖然杜賓犬總體上是健康的，但該品種也容易出現某些疾病。其中之一就是腹脹，這是一種危及生命的消化系統疾病，主人應該了解其症狀並知道一旦發生該怎麼做。可能影響此品種的遺傳健康狀況包括髖關節發育不良、擴張型心肌病變（心臟擴大）、血管性血友病（凝血障礙）、進行性視網膜萎縮、白化病和甲狀腺功能減退症。負責任的飼養者會透過醫學測試篩檢其種畜的健康狀況。切勿從未對種畜進行過這些情況的基因檢測的飼養者那裡購買小狗或狗。","髖關節評估 |心臟檢查 |眼科醫師評估 |甲狀腺評估 |血管性血友病 I (VWDI) - DNA 測試","餵食美國飼料管理協會 (AAFCO) 批准的商業粗磨飼料或濕糧是確保您的杜賓犬獲得完整均衡飲食的好方法。
這些狗需要易於消化的蛋白質來維持肌肉（包括心臟）的健康。飲食中添加 Omega-3 脂肪酸 (DHA/EPA) 有助於維持皮膚、毛髮、腎臟和心臟的健康。","未找到 'How To Feed' 相關的 <h3> 標籤","與您的獸醫討論在您的杜賓犬的飲食中添加 omega-3 脂肪酸 (DHA/EPA)。它們起到天然抗發炎的作用，有助於保護皮膚、毛髮、腎臟、關節和心臟。您的杜賓犬也可能受益於關節補充劑，尤其是髖關節發育不良的杜賓犬。
在給你的狗餵食補充劑之前，請務必先諮詢你的獸醫。"
"20","大丹犬","71.1-76.2 公分","49.9-63.5 公斤","7-10 年","胃脹氣，或稱胃擴張-扭轉（GDV），是丹麥人的頭號殺手。主人應該學會識別腹脹可能發生的跡像以及發生腹脹時應該採取的措施。許多飼養者和主人考慮進行一種稱為預防性胃固定術（「預防性固定」）的手術，以幫助預防 GDV 的一些更嚴重的問題。可能影響該品種的其他健康問題包括眼部和心臟疾病、甲狀腺功能減退症和自體免疫性甲狀腺炎以及髖關節發育不良。負責任的飼養者會篩檢繁殖牲畜是否有可能影響品種的狀況。","髖關節評估 |心臟檢查 |眼科醫師評估 |甲狀腺評估","大丹犬需要吃專為大型犬製作的高品質狗糧。餵食專為大型犬配製的均衡商業飲食是確保您的大丹犬獲得最佳營養的最簡單方法。
大丹犬幼犬應該吃大型犬幼犬食品，直到它們 18 個月大。標記為「所有生命階段」的飲食並不適合這種大小的狗，因為大丹犬的身高比小型犬長得快得多，而且它們的骨骼生長時間更長。
作為大型犬種，大丹犬可能還需要更多的關節支撐。許多飲食都是考慮到這一點而製定的，並且含有比中型或小型犬所需的更高水平的葡萄糖胺和軟骨素。","餵養大丹犬時，降低感染 GDV 的風險非常重要。以下是餵食期間保護大丹犬的一些方法：
建議使用慢速餵食器以防止您的狗吃得太快。它們具有多種不同的圖案和顏色，對狗的舌頭來說就像一個迷宮。
不要每天只給你的狗吃一頓飯，而是要餵兩餐或更多少量的飯。
不要讓你的狗在飯後一到兩小時內運動。
避免使用高架食盆，因為這現在被認為會增加GDV的發生率。","如果餵食經美國飼料管理協會 (AAFCO) 批准的狗糧，大丹犬應該能夠獲得所有必需的營養。然而，關節補充劑對該品種是有益的。
許多寵物主人開始給他們的大丹犬服用關節補充劑，例如 Nutramax® Dasuquin®，以減緩其臀部、膝蓋和肘部的退化。"
"21","羅威納","55.9-63.5 公分","36.3-45.4 公斤","9-10 年","在繁殖之前，負責任的羅威納犬飼養者會對潛在的公犬和母犬進行健康問題測試，例如髖關節發育不良（一種可以透過 X 光檢測出的髖關節畸形）；眼部疾病和心臟病。正如所有的狗一樣，該品種有時會發生癌症。傑拉爾德 P. 墨菲癌症基金會的 David Waters 博士、獸醫，曾進行過由羅威納犬健康基金會資助的癌症預防研究。沃特斯博士發現，癌症和長壽與精心的疫苗接種方案有關，從而增強免疫系統，並使男性和女性至少在六歲之前保持完整。","髖關節評估 |肘部評估 |心臟檢查 |眼科醫師評估 |青少年喉部麻痺和多發性神經病變 (JLPP) - DNA 測試","餵養任何狗（包括羅威納犬）的首要規則是提供與其生命階段相符的食物。幼犬要餵幼犬糧，成年犬要餵成年犬糧，老年犬要餵老年犬糧。
選擇經美國飼料管理協會（AAFCO）批准的狗糧。一些寵物食品公司甚至專門為羅威納犬開發了飲食，這些飲食通常是合適的。您的獸醫可以幫助您為您的狗選擇最佳的食物。","羅威納犬幼犬每天應餵食三到四次，以防止低血糖。它們還需要足夠的熱量來維持生長和新陳代謝。建議先餵食幼犬飼料，直到羅威納犬長到 12 個月大，然後再過渡到成犬飼料。
成年羅威納犬每天可以餵食兩次。堅持定量、定時餵食對避免肥胖非常重要。給羅威納犬餵食多餐也有助於防止腹脹和 GDV，如果您的狗每天只吃一頓大餐，則更有可能發生這兩種情況。
其他避免危及生命的 GDV 的提示包括：
避免使用高架食盆
不要在飯前或飯後立即鍛鍊羅威納犬
如果你的狗吃太多、太快，可以嘗試使用慢食碗","諮詢獸醫有關您愛犬的最佳膳食補充劑非常重要。他們可能會推薦給羅威納犬的補充劑，例如：
Omega-3、-6 和 -9 脂肪酸補充劑，可支持關節、皮毛和心臟功能。
含有葡萄糖胺、軟骨素和甲基磺酰甲烷（MSM）的關節補充劑，有助於預防關節炎。"
"22","鬆獅犬","43.2-50.8 公分","20.4-31.8 公斤","8-12 年","鬆獅犬的健康問題可能包括眼瞼內翻、髖關節發育不良、肘關節發育不良、過敏和甲狀腺功能。這些問題可以透過健康檢查、負責任的繁殖和定期的醫療保健來盡量減少，並可以透過獸醫護理來診斷和管理。在鬆獅俱樂部 (Chow Chow Club, Inc.) 的網站上可以找到有關該品種健康狀況的廣泛而詳細的資訊。","髕骨評估 |髖關節評估 |肘部評估 |眼科醫師評估 |甲狀腺評估","鬆獅犬不需要太多的活動，大多數每天散步幾次 20 分鐘即可。但他們悠閒的生活方式使他們更容易患上肥胖症以及與之相關的其他健康問題，如糖尿病、青光眼和關節炎。
因此，掌握鬆獅犬的營養是寵物主人的重要任務。這些狗需要吃營養均衡的狗糧，這種狗糧要適合它們的生命階段（幼犬、成犬或老年犬）並符合美國飼料管理協會 (AAFCO) 的指導方針。","狗狗進食後可能會發生 GDV，因此，在給鬆獅犬進食時應多加小心。為了降低危險狀況的風險：
每天給你的狗吃多頓飯，而不是一頓大餐。成年鬆獅犬每天應該至少吃兩頓飯，而鬆獅幼犬每天可以吃三到四餐。
不要讓你的狗在吃飯前或吃飯後直接運動。
為了讓鬆獅犬在進食時慢下來，請嘗試使用慢食碗餵食它們。
不要用高高的食盆餵狗。這些被認為會增加腹脹和 GDV 的風險。","食用符合 AAFCO 標準的飲食的健康狗將從狗糧中獲取所有必需的營養。但是由於鬆獅犬容易出現多種毛髮和關節問題，因此最好與您的獸醫討論適合您的狗的補充劑。
含有軟骨素和葡萄糖胺的關節補充劑有助於保持關節健康，而歐米茄脂肪酸（如魚油）具有抗發炎特性。"
"23","米格魯","33.0-38.1 公分","9.1-13.6 公斤","10-15 年","負責任的飼養者會對種畜進行健康檢查，例如髖關節發育不良、甲狀腺功能減退、癲癇、髕骨脫位（膝蓋骨脫臼）和眼部疾病等。與所有品種一樣，比格犬的耳朵應每週檢查一次，並且應定期刷牙。","髖關節評估 |心臟檢查 |眼科醫師評估 |甲狀腺評估 |穆斯拉丁-盧克症候群 (MLS) - DNA 測試","如上所述，比格犬喜歡食物，而且容易肥胖。通常情況下，按照生產商的說明使用營養均衡的商業狗糧並定期鍛煉將使您的比格犬保持健康的體重。尋找符合美國飼料管理協會（AAFCO）規定的標準的狗糧。
然而，如果您的小獵犬變得超重，您的獸醫可能會建議您採用限制熱量的飲食。
一些製造商也為比格犬生產特定品種的食物。向您的獸醫諮詢如何選擇最好的狗糧。","應該定期給比格犬餵食食品製造商建議的量，通常每天兩到三次，以保持其新陳代謝。不應讓比格犬整天吃草。
比格犬幼犬需要比成犬吃得更頻繁（每天最多四餐），以防止低血糖。根據狗的生命階段來餵養牠很重要——幼犬需要幼犬配方的食物，成年犬需要成犬配方的食物，老年犬需要老年犬配方的食物。
有些比格犬會吃得太快，導致窒息或嘔吐未消化的食物。為了幫助飢餓的小獵犬放慢速度（並讓它們保持愉快），請使用慢食碗，這樣它們就會努力尋找食物。","食用符合 AAFCO 標準的飲食的健康狗不需要任何補充劑，因為它們將獲得所有所需的營養。但是，根據您的比格犬的健康狀況，獸醫可能會推薦一種狗補充劑。
比格犬還可以從敏感皮膚專用食物中受益，這些食物通常富含 omega-3 脂肪酸，有助於減少發炎。如果您的獸醫懷疑您的小狗有食物過敏，他們可能會開處方飲食來幫助它。"
"24","邊境牧羊犬","45.7-53.3 公分","13.6-24.9 公斤","12-15 年","邊境牧羊犬通常是一種非常耐寒且健康的犬種，負責任的飼養者會對種畜進行健康篩檢，例如髖關節發育不良、進行性腎萎縮、耳聾、癲癇、牧羊犬眼異常、神經元蠟樣脂褐素沉積症和嗜中性球滯留症候群等。應定期檢查BC的耳朵是否有感染跡象，並應定期刷牙。","髖關節評估 |眼科醫師評估","給你的邊境牧羊犬餵食蛋白質含量較高的高品質食物，以支持它們的高活動量和肌肉。富含 Omega-3 脂肪酸的食物也有助於保持它們的皮毛光澤和關節健康。
請諮詢您的獸醫，確定哪種食物最適合您的邊境牧羊犬，但一個好的開始是選擇經美國飼料管理協會 (AAFCO) 批准的食物。 AAFCO 核准表示該食品符合寵物食品的標準營養要求和規定。
給邊境牧羊犬餵食適合其生命階段的食物也很重要。可以餵食高品質的幼犬食品，直到您的邊境牧羊犬幼犬長到 12 至 18 個月大。然後，換成成年階段的食物。","由於邊境牧羊犬非常活躍，因此這種犬種的肥胖現像很少見。成年犬每天可以餵食兩次。邊境牧羊犬幼犬需要按時每天吃三頓飯，以防止低血糖。
由於這種犬種非常聰明，它們可能喜歡用互動玩具和益智餵食器餵食。這也將提供急需的精神刺激。","邊境牧羊犬的所有營養都來自經 AAFCO 認可的狗糧。然而，根據獸醫的建議，它們可以從某些補充劑中受益。例如，如果您的狗被診斷出患有髖關節發育不良，您的獸醫可能會開立關節補充劑來維持軟骨健康。"
